data,tipo,descricao,valor,categoria,saldo_apos
2024-01-15,credito,Salário,5000.00,Renda,15000.00
2024-01-18,debito,Aluguel,1500.00,Moradia,-1500.00
2024-01-20,debito,Supermercado,350.50,Alimentação,-1850.50
2024-01-22,debito,Combustível,200.00,Transporte,-2050.50
2024-01-25,credito,Freelancer,800.00,Renda,-1250.50
2024-02-01,debito,Internet,120.00,Utilidades,-1370.50
2024-02-03,debito,Academia,150.00,Saúde,-1520.50
2024-02-05,debito,Restaurante,280.00,Alimentação,-1800.50
2024-02-10,credito,Salário,5000.00,Renda,3199.50
2024-02-12,debito,Compras Online,450.00,Compras,-1250.50
2024-02-15,debito,Telefone,80.00,Utilidades,-1330.50
2024-02-18,debito,Viagem,1200.00,Lazer,-2530.50
2024-02-20,credito,Bônus,1500.00,Renda,-1030.50
2024-03-01,debito,Aluguel,1500.00,Moradia,-2530.50
2024-03-05,debito,Energia,280.00,Utilidades,-2810.50
